obs.no,agent_x,agent_y,gem_x,gem_y,rewards,action
499,200,200,200,200,10000.0,2
500,250,200,200,200,-50.0,1
501,200,200,200,200,10000.0,3
502,200,250,200,200,-50.0,0
503,200,200,200,200,10000.0,2
504,250,200,200,200,-50.0,1
505,200,200,200,200,10000.0,3
506,150,200,200,200,-50.0,3
507,200,200,200,200,10000.0,1
508,200,250,200,200,-50.0,0
509,200,200,200,200,10000.0,2
510,150,200,200,200,-50.0,3
511,200,200,200,200,10000.0,1
512,200,250,200,200,-50.0,0
513,200,200,200,200,10000.0,2
514,250,200,200,200,-50.0,1
515,200,200,200,200,10000.0,3
516,250,200,200,200,-50.0,1
517,200,200,200,200,10000.0,3
518,200,250,200,200,-50.0,0
519,200,200,200,200,10000.0,2
520,250,200,200,200,-50.0,1
521,200,200,200,200,10000.0,3
522,200,250,200,200,-50.0,0
523,200,200,200,200,10000.0,2
524,200,250,200,200,-50.0,0
525,200,200,200,200,10000.0,2
526,250,200,200,200,-50.0,1
527,200,200,200,200,10000.0,3
528,150,200,200,200,-50.0,3
529,200,200,200,200,10000.0,1
530,250,200,200,200,-50.0,1
531,200,200,200,200,10000.0,3
532,200,250,200,200,-50.0,0
533,200,200,200,200,10000.0,2
534,250,200,200,200,-50.0,1
535,200,200,200,200,10000.0,3
536,200,250,200,200,-50.0,0
537,200,200,200,200,10000.0,2
538,200,250,200,200,-50.0,0
539,200,200,200,200,10000.0,2
540,200,250,200,200,-50.0,0
541,200,200,200,200,10000.0,2
542,200,250,200,200,-50.0,0
543,200,200,200,200,10000.0,2
544,200,250,200,200,-50.0,0
545,200,200,200,200,10000.0,2
546,250,200,200,200,-50.0,1
547,200,200,200,200,10000.0,3
548,250,200,200,200,-50.0,1
549,200,200,200,200,10000.0,3
550,250,200,200,200,-50.0,1
551,200,200,200,200,10000.0,3
552,200,250,200,200,-50.0,0
553,200,200,200,200,10000.0,2
554,250,200,200,200,-50.0,1
555,200,200,200,200,10000.0,3
556,250,200,200,200,-50.0,1
557,200,200,200,200,10000.0,3
558,200,250,200,200,-50.0,0
559,200,200,200,200,10000.0,2
560,200,250,200,200,-50.0,0
561,200,200,200,200,10000.0,2
562,250,200,200,200,-50.0,1
563,200,200,200,200,10000.0,3
564,200,250,200,200,-50.0,0
565,200,200,200,200,10000.0,2
566,250,200,200,200,-50.0,1
567,200,200,200,200,10000.0,3
568,200,250,200,200,-50.0,0
569,200,200,200,200,10000.0,2
570,150,200,200,200,-50.0,3
571,200,200,200,200,10000.0,1
572,250,200,200,200,-50.0,1
573,200,200,200,200,10000.0,3
574,250,200,200,200,-50.0,1
575,200,200,200,200,10000.0,3
576,250,200,200,200,-50.0,1
577,200,200,200,200,10000.0,3
578,250,200,200,200,-50.0,1
579,200,200,200,200,10000.0,3
580,200,250,200,200,-50.0,0
581,200,200,200,200,10000.0,2
582,250,200,200,200,-50.0,1
583,200,200,200,200,10000.0,3
584,150,200,200,200,-50.0,3
585,200,200,200,200,10000.0,1
586,250,200,200,200,-50.0,1
587,200,200,200,200,10000.0,3
588,250,200,200,200,-50.0,1
589,200,200,200,200,10000.0,3
590,200,150,200,200,-50.0,2
591,200,200,200,200,10000.0,0
592,250,200,200,200,-50.0,1
593,200,200,200,200,10000.0,3
594,200,250,200,200,-50.0,0
595,200,200,200,200,10000.0,2
596,250,200,200,200,-50.0,1
597,200,200,200,200,10000.0,3
598,250,200,200,200,-50.0,1
599,200,200,200,200,10000.0,3
600,200,250,200,200,-50.0,0
601,200,200,200,200,10000.0,2
602,250,200,200,200,-50.0,1
603,200,200,200,200,10000.0,3
604,250,200,200,200,-50.0,1
605,200,200,200,200,10000.0,3
606,200,250,200,200,-50.0,0
607,200,200,200,200,10000.0,2
608,200,250,200,200,-50.0,0
609,200,200,200,200,10000.0,2
610,200,250,200,200,-50.0,0
611,200,200,200,200,10000.0,2
612,200,250,200,200,-50.0,0
613,200,200,200,200,10000.0,2
614,250,200,200,200,-50.0,1
615,200,200,200,200,10000.0,3
616,250,200,200,200,-50.0,1
617,200,200,200,200,10000.0,3
618,250,200,200,200,-50.0,1
619,200,200,200,200,10000.0,3
620,200,250,200,200,-50.0,0
621,150,250,200,200,-70.71067811865476,3
622,200,250,200,200,-50.0,1
623,200,200,200,200,10000.0,2
624,250,200,200,200,-50.0,1
625,200,200,200,200,10000.0,3
626,200,250,200,200,-50.0,0
627,200,200,200,200,10000.0,2
628,200,250,200,200,-50.0,0
629,200,200,200,200,10000.0,2
630,250,200,200,200,-50.0,1
631,200,200,200,200,10000.0,3
632,250,200,200,200,-50.0,1
633,200,200,200,200,10000.0,3
634,250,200,200,200,-50.0,1
635,200,200,200,200,10000.0,3
636,200,250,200,200,-50.0,0
637,200,200,200,200,10000.0,2
638,250,200,200,200,-50.0,1
639,200,200,200,200,10000.0,3
640,200,250,200,200,-50.0,0
641,200,200,200,200,10000.0,2
642,250,200,200,200,-50.0,1
643,200,200,200,200,10000.0,3
644,250,200,200,200,-50.0,1
645,200,200,200,200,10000.0,3
646,200,250,200,200,-50.0,0
647,200,200,200,200,10000.0,2
648,200,250,200,200,-50.0,0
649,200,200,200,200,10000.0,2
650,250,200,200,200,-50.0,1
651,200,200,200,200,10000.0,3
652,250,200,200,200,-50.0,1
653,200,200,200,200,10000.0,3
654,250,200,200,200,-50.0,1
655,200,200,200,200,10000.0,3
656,200,250,200,200,-50.0,0
657,200,200,200,200,10000.0,2
658,250,200,200,200,-50.0,1
659,200,200,200,200,10000.0,3
660,200,250,200,200,-50.0,0
661,200,200,200,200,10000.0,2
662,200,250,200,200,-50.0,0
663,200,200,200,200,10000.0,2
664,200,250,200,200,-50.0,0
665,200,200,200,200,10000.0,2
666,200,250,200,200,-50.0,0
667,200,200,200,200,10000.0,2
668,200,250,200,200,-50.0,0
669,200,200,200,200,10000.0,2
670,250,200,200,200,-50.0,1
671,200,200,200,200,10000.0,3
672,250,200,200,200,-50.0,1
673,200,200,200,200,10000.0,3
674,250,200,200,200,-50.0,1
675,200,200,200,200,10000.0,3
676,200,250,200,200,-50.0,0
677,200,200,200,200,10000.0,2
678,250,200,200,200,-50.0,1
679,200,200,200,200,10000.0,3
680,250,200,200,200,-50.0,1
681,200,200,200,200,10000.0,3
682,200,250,200,200,-50.0,0
683,200,200,200,200,10000.0,2
684,250,200,200,200,-50.0,1
685,200,200,200,200,10000.0,3
686,250,200,200,200,-50.0,1
687,200,200,200,200,10000.0,3
688,250,200,200,200,-50.0,1
689,200,200,200,200,10000.0,3
690,250,200,200,200,-50.0,1
691,200,200,200,200,10000.0,3
